,card_id,session_id,syllabus_name,subject_name,chapter_number,sub_chapter_number,chapter_name,section,card_type,difficulty_level,prior_level,prior_num_attempts,prior_total_time_spent,prior_temporal_ratings,prior_retention_value,prior_exam_preparedness,prior_learning_efficiency,prior_abs_learning_efficiency,prior_attempt_time,attempt_timestamp,attempt_gap_num_days,rating,points_earned,time_spent_sec,next_level
17,76365,29186,Class-9,Biology,2,1,Cell (qa),2.09 - Structure of the Nucleus,question_answer,38,L3,5,142,EHEEE,33.0,100.0,75,80,2023-09-02 20:15:48,2023-09-19 14:41:00,17.0,E,9,21,MAS
18,76145,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.7 - Plastids,question_answer,40,L3,5,191,EPEEE,11.0,100.0,88,90,2023-09-02 20:17:38,2023-09-19 14:41:10,17.0,E,10,11,MAS
19,76114,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.4 - Golgi apparatus,question_answer,30,L3,9,313,HEHEHEEEE,33.0,100.0,100,67,2023-09-02 20:18:14,2023-09-19 14:41:28,17.0,E,7,18,MAS
20,76367,29186,Class-9,Biology,2,1,Cell (qa),2.09 - Structure of the Nucleus,question_answer,40,L3,6,262,PEEEEE,33.0,100.0,100,92,2023-09-02 20:19:53,2023-09-19 14:41:42,17.0,E,10,14,MAS
21,76356,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.7 - Plastids,question_answer,38,L3,6,387,PEEEEE,55.0,100.0,100,92,2023-09-02 20:21:38,2023-09-19 14:42:07,17.0,E,10,26,MAS
22,76354,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.6 - Centrosome and Centrioles,question_answer,35,L3,7,365,HEEEEEE,64.0,100.0,100,86,2023-09-02 20:22:38,2023-09-19 14:42:36,17.0,E,8,29,MAS
23,76341,29186,Class-9,Biology,2,1,Cell (qa),2.08.1 - Cell Membrane and Cell Wall,question_answer,35,L3,7,236,HEEEEEE,64.0,100.0,100,86,2023-09-02 20:22:59,2023-09-19 14:43:06,17.0,E,7,30,MAS
24,76103,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.3 - Mitochondria,question_answer,30,L1,6,204,EEEEPE,21.0,100.0,88,92,2023-09-07 16:03:26,2023-09-19 14:43:24,12.0,E,18,19,L2
25,76345,29186,Class-9,Biology,2,1,Cell (qa),2.08.2 - Cytoplasm,question_answer,24,L2,9,355,HEEEEPEEE,66.0,100.0,88,84,2023-09-07 16:03:04,2023-09-19 14:43:58,12.0,H,-46,35,L0
26,76090,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.1 - Endoplasmic reticulum,question_answer,26,L2,9,263,EPEEAEPEE,41.0,100.0,88,87,2023-09-07 16:03:53,2023-09-19 14:44:18,12.0,E,13,20,L3
27,76350,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.4 - Golgi apparatus,question_answer,21,L2,15,545,HHHEHEEPEEHEEEA,41.0,100.0,95,62,2023-09-07 16:05:35,2023-09-19 14:44:34,12.0,E,11,16,L3
28,76143,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.7 - Plastids,question_answer,15,L2,4,83,EEEE,62.0,100.0,100,100,2023-09-07 20:13:24,2023-09-19 14:44:43,12.0,E,8,10,L3
29,76148,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.7 - Plastids,question_answer,23,L2,4,81,EEEE,58.0,100.0,100,100,2023-09-07 20:13:44,2023-09-19 14:44:56,12.0,E,12,13,L3
30,76347,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.1 - Endoplasmic reticulum,question_answer,14,L2,13,493,HHEHEEPPEEEEE,62.0,100.0,100,70,2023-09-07 20:14:10,2023-09-19 14:45:26,12.0,P,-16,31,L1
31,76345,29186,Class-9,Biology,2,1,Cell (qa),2.08.2 - Cytoplasm,question_answer,24,L0,10,390,HEEEEPEEEH,66.0,100.0,75,75,2023-09-19 14:43:58,2023-09-19 14:45:43,0.0,E,0,18,L0
32,76374,29186,Class-9,Biology,2,1,Cell (qa),2.10 - The plant and animal cells,question_answer,57,L2,9,589,PEEEEHEEE,4.0,100.0,75,84,2023-09-07 20:20:22,2023-09-19 14:46:24,12.0,E,26,41,L3
33,76353,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.5 - Lysosomes,question_answer,35,L2,8,469,HEEEEHEE,21.0,100.0,75,75,2023-09-07 20:20:51,2023-09-19 14:46:37,12.0,E,18,13,L3
34,76344,29186,Class-9,Biology,2,1,Cell (qa),2.08.2 - Cytoplasm,question_answer,30,L2,6,220,EEEPEE,41.0,100.0,88,92,2023-09-07 20:21:13,2023-09-19 14:46:53,12.0,E,15,16,L3
35,76352,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.5 - Lysosomes,question_answer,19,L2,10,348,EEHHEEHEEE,43.0,100.0,75,70,2023-09-07 20:21:59,2023-09-19 14:47:06,12.0,E,10,14,L3
36,76343,29186,Class-9,Biology,2,1,Cell (qa),2.08.2 - Cytoplasm,question_answer,38,L2,8,611,PEEEEEPE,21.0,100.0,88,88,2023-09-07 20:22:58,2023-09-19 14:47:42,12.0,E,20,37,L3
37,76059,29186,Class-9,Biology,2,1,Cell (qa),2.07 - Cell Shapes,question_answer,17,L3,9,199,EHEEEHEEE,70.0,100.0,75,78,2023-09-07 16:04:05,2023-09-19 14:48:56,12.0,E,4,21,MAS
38,76076,29186,Class-9,Biology,2,1,Cell (qa),2.08.1 - Cell Membrane and Cell Wall,question_answer,12,L3,7,65,EEEHEEE,70.0,100.0,75,86,2023-09-07 16:04:11,2023-09-19 14:49:07,12.0,E,3,11,MAS
39,76347,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.1 - Endoplasmic reticulum,question_answer,14,L1,14,524,HHEHEEPPEEEEEP,62.0,100.0,88,68,2023-09-19 14:45:26,2023-09-19 14:49:15,0.0,E,0,9,L1
40,76372,29186,Class-9,Biology,2,1,Cell (qa),2.09 - Structure of the Nucleus,question_answer,14,L3,6,156,EHEEEE,70.0,100.0,100,84,2023-09-07 16:04:49,2023-09-19 14:49:28,12.0,E,4,14,MAS
41,76368,29186,Class-9,Biology,2,1,Cell (qa),2.09 - Structure of the Nucleus,question_answer,24,L3,12,474,HEHPEEEHEEEE,66.0,100.0,100,71,2023-09-07 16:06:13,2023-09-19 14:49:39,12.0,E,6,11,MAS
42,76127,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.6 - Centrosome and Centrioles,question_answer,28,L3,9,342,PEEEPEEEE,65.0,100.0,100,89,2023-09-07 16:06:53,2023-09-19 14:49:53,12.0,E,8,15,MAS
43,76342,29186,Class-9,Biology,2,1,Cell (qa),2.08.1 - Cell Membrane and Cell Wall,question_answer,26,L3,11,445,HPHEEEPEEEE,65.0,100.0,100,73,2023-09-07 16:07:28,2023-09-19 14:50:15,12.0,E,7,21,MAS
44,76355,29186,Class-9,Biology,2,1,Cell (qa),2.08.2.6 - Centrosome and Centrioles,question_answer,17,L3,10,276,HHEEEEAEEE,75.0,100.0,95,78,2023-09-07 16:07:50,2023-09-19 14:50:27,12.0,E,5,14,MAS
45,76373,29186,Class-9,Biology,2,1,Cell (qa),2.10 - The plant and animal cells,question_answer,58,L3,4,209,EEEE,41.0,100.0,100,100,2023-09-07 20:23:53,2023-09-19 14:51:31,12.0,E,12,64,MAS
46,78732,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,8,NS,3,39,EEE,13.0,100.0,100,0,2023-06-25 17:44:35,2023-09-19 14:57:28,86.0,E,16,8,MAS
47,78733,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,4,NS,3,95,EEE,13.0,100.0,100,0,2023-06-25 17:44:59,2023-09-19 14:58:02,86.0,E,8,35,MAS
48,78734,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,4,NS,3,66,EEE,13.0,100.0,100,0,2023-06-25 17:45:17,2023-09-19 14:58:12,86.0,E,10,11,MAS
49,78735,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,6,NS,3,62,EEE,13.0,100.0,100,0,2023-06-25 17:45:36,2023-09-19 14:58:26,86.0,E,11,15,MAS
50,78736,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,6,NS,3,103,EEE,13.0,100.0,100,0,2023-06-25 17:46:27,2023-09-19 14:58:35,86.0,E,13,9,MAS
51,78737,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,2,NS,3,37,EEE,13.0,100.0,100,0,2023-06-25 17:46:38,2023-09-19 14:58:41,86.0,E,5,6,MAS
52,78738,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,2,NS,3,32,EEE,13.0,100.0,100,0,2023-06-25 17:46:45,2023-09-19 14:58:45,86.0,E,5,5,MAS
53,78739,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,2,NS,3,31,EEE,13.0,100.0,100,0,2023-06-25 17:47:10,2023-09-19 14:58:51,86.0,E,5,7,MAS
54,78741,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,4,NS,3,52,EEE,13.0,100.0,100,0,2023-06-25 17:47:22,2023-09-19 14:59:01,86.0,E,9,11,MAS
55,78742,29192,Class-9,Biology,4,1,Flower (qa),5.0 - Exercises,question_answer,4,NS,3,26,EEE,13.0,100.0,100,0,2023-06-25 17:47:33,2023-09-19 14:59:10,86.0,E,8,9,MAS
56,78517,29192,Class-9,Biology,4,1,Flower (qa),4.1.1 - Complete and incomplete flowers,question_answer,28,L1,12,513,EHEEHEEEEPEE,17.0,100.0,88,80,2023-08-26 12:26:23,2023-09-19 14:59:32,24.0,H,-39,23,L0
57,78527,29192,Class-9,Biology,4,1,Flower (qa),4.1.2 - Sexuality In Flowers,question_answer,24,L2,8,209,EEAEEEEE,56.0,100.0,100,98,2023-08-26 12:26:33,2023-09-19 15:00:16,24.0,E,7,45,L3
58,78514,29192,Class-9,Biology,4,1,Flower (qa),4.1.1 - Complete and incomplete flowers,question_answer,35,L3,9,213,EEEEEEAEE,21.0,100.0,95,98,2023-08-26 12:27:13,2023-09-19 15:00:31,24.0,E,8,16,MAS
59,78517,29192,Class-9,Biology,4,1,Flower (qa),4.1.1 - Complete and incomplete flowers,question_answer,28,L0,13,536,EHEEHEEEEPEEH,17.0,100.0,63,74,2023-09-19 14:59:32,2023-09-19 15:00:55,0.0,E,0,25,L0
60,78493,29192,Class-9,Biology,4,1,Flower (qa),4.1 - Structure Of A Bisexual Flower,matching,5,L1,7,75,EEEEHEE,46.0,100.0,75,86,2023-09-14 20:06:02,2023-09-19 15:01:00,5.0,E,4,5,L2
61,78499,29192,Class-9,Biology,4,1,Flower (qa),4.1 - Structure Of A Bisexual Flower,matching,5,L1,7,53,EEEEHEE,46.0,100.0,75,86,2023-09-14 20:06:08,2023-09-19 15:01:05,5.0,E,3,5,L2
62,78628,29192,Class-9,Biology,4,1,Flower (qa),4.2 - General Description Of The Floral Parts,fib,9,L1,13,283,PPHEHEEHEEEEE,91.0,100.0,100,70,2023-09-16 13:01:40,2023-09-19 15:01:14,3.0,E,6,9,L2
63,78346,29193,Class-9,Computers,3,1,Values and Datatypes (qa),2.1 - Unicode,fib,3,NS,5,41,EEEEE,19.0,100.0,100,0,2023-06-29 17:54:24,2023-09-19 15:01:29,82.0,E,7,6,MAS
64,78364,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.1 - Literals,fib,3,NS,6,70,EEEEEE,20.0,100.0,100,0,2023-06-29 17:56:20,2023-09-19 15:01:35,82.0,E,7,7,MAS
65,78382,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.4 - Separators,fib,3,NS,5,61,EEEEE,20.0,100.0,100,0,2023-06-29 17:54:46,2023-09-19 15:01:42,82.0,E,7,8,MAS
66,78384,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.5 - Operators,fib,3,NS,5,69,EEEEE,20.0,100.0,100,0,2023-06-29 17:55:13,2023-09-19 15:01:48,82.0,E,7,7,MAS
67,78408,29193,Class-9,Computers,3,1,Values and Datatypes (qa),7.0 - Type Conversion,fib,5,NS,5,109,EEEEE,20.0,100.0,100,0,2023-06-29 17:55:32,2023-09-19 15:02:14,82.0,E,4,27,L1
68,78418,29193,Class-9,Computers,3,1,Values and Datatypes (qa),2.1 - Unicode,question_answer,46,NS,2,164,HE,0.0,100.0,50,50,2023-06-29 18:28:47,2023-09-19 15:03:08,82.0,H,-9,54,L0
69,78419,29193,Class-9,Computers,3,1,Values and Datatypes (qa),2.1 - Unicode,question_answer,31,NS,2,97,HE,0.0,100.0,50,50,2023-06-29 18:29:38,2023-09-19 15:03:37,82.0,E,29,30,L1
70,78420,29193,Class-9,Computers,3,1,Values and Datatypes (qa),2.2 - ASCII,question_answer,43,NS,2,106,HE,0.0,100.0,50,50,2023-06-29 18:32:18,2023-09-19 15:04:08,82.0,E,40,32,L1
71,78421,29193,Class-9,Computers,3,1,Values and Datatypes (qa),2.2 - ASCII,question_answer,57,NS,2,115,HE,0.0,100.0,50,50,2023-06-29 18:33:17,2023-09-19 15:05:04,82.0,A,30,56,L1
72,78424,29193,Class-9,Computers,3,1,Values and Datatypes (qa),3.0 - Escape Sequences,question_answer,61,NS,2,122,EE,0.0,100.0,100,0,2023-06-29 18:00:07,2023-09-19 15:05:33,82.0,E,61,30,L1
73,78425,29193,Class-9,Computers,3,1,Values and Datatypes (qa),3.0 - Escape Sequences,question_answer,57,NS,2,118,EE,0.0,100.0,100,0,2023-06-29 18:00:54,2023-09-19 15:05:55,82.0,E,58,22,L1
74,78426,29193,Class-9,Computers,3,1,Values and Datatypes (qa),3.0 - Escape Sequences,question_answer,43,NS,3,149,EEE,0.0,100.0,100,0,2023-07-30 14:43:49,2023-09-19 15:06:20,51.0,E,42,26,L1
75,78427,29193,Class-9,Computers,3,1,Values and Datatypes (qa),3.0 - Escape Sequences,question_answer,35,NS,3,116,EEE,3.0,100.0,100,0,2023-07-30 14:44:27,2023-09-19 15:06:55,51.0,E,29,36,L1
76,78418,29193,Class-9,Computers,3,1,Values and Datatypes (qa),2.1 - Unicode,question_answer,46,L0,3,218,HEH,0.0,100.0,34,34,2023-09-19 15:03:09,2023-09-19 15:07:09,0.0,E,0,15,L0
77,78428,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.0 - Token,question_answer,56,NS,2,152,EE,0.0,100.0,100,0,2023-06-29 18:04:29,2023-09-19 15:07:50,82.0,E,54,41,L1
78,78429,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.1 - Literals,question_answer,66,NS,2,230,EE,0.0,100.0,100,0,2023-06-29 18:07:45,2023-09-19 15:08:39,82.0,E,66,49,L1
79,78430,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.2 - Variables,question_answer,28,NS,4,168,HEEE,0.0,100.0,100,0,2023-06-29 18:23:51,2023-09-19 15:09:04,82.0,E,26,26,L1
80,78431,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.2 - Variables,question_answer,47,NS,3,179,EEE,0.0,100.0,100,100,2023-07-30 14:45:17,2023-09-19 15:09:21,51.0,E,48,17,L1
81,78432,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.2 - Variables,question_answer,46,NS,3,86,EEE,0.0,100.0,100,100,2023-07-30 14:45:35,2023-09-19 15:09:36,51.0,E,46,14,L1
82,78433,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.3 - Punctuators,question_answer,28,NS,3,86,EEE,16.0,100.0,100,100,2023-07-30 14:45:49,2023-09-19 15:09:47,51.0,E,29,13,L1
83,78434,29193,Class-9,Computers,3,1,Values and Datatypes (qa),4.4 - Separators,question_answer,30,NS,4,141,HEEE,0.0,100.0,100,0,2023-06-29 18:24:25,2023-09-19 15:10:03,82.0,E,30,16,L1
84,78435,29193,Class-9,Computers,3,1,Values and Datatypes (qa),5.0 - Data types in Java,question_answer,40,NS,4,265,HEEE,0.0,100.0,100,0,2023-06-29 18:24:55,2023-09-19 15:10:44,82.0,P,9,42,L0
85,78436,29193,Class-9,Computers,3,1,Values and Datatypes (qa),5.1 - Primitive Types,question_answer,30,NS,3,156,EPE,0.0,100.0,84,84,2023-06-29 18:23:17,2023-09-19 15:11:41,82.0,E,24,57,L1
86,78437,29193,Class-9,Computers,3,1,Values and Datatypes (qa),5.3 - Floating Types,question_answer,31,NS,3,120,EEH,0.0,100.0,67,67,2023-07-30 14:46:34,2023-09-19 15:12:07,51.0,E,29,27,L1
87,78438,29193,Class-9,Computers,3,1,Values and Datatypes (qa),6.0 - Arithmetical Expression,question_answer,51,NS,2,75,EE,0.0,100.0,100,0,2023-06-29 18:11:18,2023-09-19 15:12:34,82.0,E,45,27,L1
88,78439,29193,Class-9,Computers,3,1,Values and Datatypes (qa),6.0 - Arithmetical Expression,question_answer,28,NS,3,119,EEE,16.0,100.0,100,0,2023-07-30 14:46:50,2023-09-19 15:12:53,51.0,E,29,19,L1
89,78440,29193,Class-9,Computers,3,1,Values and Datatypes (qa),6.0 - Arithmetical Expression,question_answer,40,NS,3,150,EEE,0.0,100.0,100,0,2023-07-30 14:47:38,2023-09-19 15:13:28,51.0,E,35,36,L1
90,78435,29193,Class-9,Computers,3,1,Values and Datatypes (qa),5.0 - Data types in Java,question_answer,40,L0,5,307,HEEEP,0.0,100.0,88,70,2023-09-19 15:10:44,2023-09-19 15:14:07,0.0,E,0,40,L0
91,78441,29193,Class-9,Computers,3,1,Values and Datatypes (qa),7.0 - Type Conversion,question_answer,38,NS,2,196,EE,0.0,100.0,100,0,2023-06-29 18:15:51,2023-09-19 15:14:32,82.0,E,78,25,MAS
92,78442,29193,Class-9,Computers,3,1,Values and Datatypes (qa),7.1 - Implicit Type Conversion,question_answer,43,NS,2,50,EE,0.0,100.0,100,0,2023-06-29 18:16:35,2023-09-19 15:15:04,82.0,E,32,32,L1
93,78443,29193,Class-9,Computers,3,1,Values and Datatypes (qa),7.1 - Implicit Type Conversion,question_answer,14,NS,2,347,EE,0.0,100.0,100,100,2023-06-29 18:22:17,2023-09-19 15:15:18,82.0,E,15,15,L1
94,78444,29193,Class-9,Computers,3,1,Values and Datatypes (qa),7.2 - Explicit Type Conversion,question_answer,46,NS,2,73,EE,0.0,100.0,100,0,2023-06-29 18:22:52,2023-09-19 15:15:44,82.0,E,41,26,L1
95,79051,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1 - Pollination,question_answer,59,NS,5,208,EEEEE,18.0,100.0,100,0,2023-07-30 20:05:31,2023-09-19 15:16:32,51.0,E,106,32,MAS
96,79072,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.2 - Cross-pollination,question_answer,23,NS,4,73,EEEE,17.0,100.0,100,100,2023-07-30 20:02:35,2023-09-19 15:17:02,51.0,E,15,30,L1
97,79074,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.2 - Cross-pollination,question_answer,28,NS,4,88,EEEE,17.0,100.0,100,100,2023-07-30 20:02:19,2023-09-19 15:17:16,51.0,E,26,15,L1
98,79075,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.2 - Cross-pollination,question_answer,35,NS,4,127,EEEE,14.0,100.0,100,100,2023-07-30 20:02:03,2023-09-19 15:17:42,51.0,E,29,26,L1
99,79209,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.3 - Agents of cross-pollination,question_answer,23,NS,5,100,PEEEE,14.0,100.0,100,0,2023-07-30 20:06:27,2023-09-19 15:18:02,51.0,E,19,20,L1
100,79236,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.3 - Fertilization,fib,5,NS,4,62,EEEE,20.0,100.0,100,100,2023-07-21 21:09:27,2023-09-19 15:18:55,60.0,E,3,53,MAS
101,80691,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.4 - Exercises,matching,35,NS,3,53,EEE,1.0,100.0,100,0,2023-08-05 23:48:00,2023-09-19 15:19:18,45.0,E,50,23,MAS
102,80692,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.4 - Exercises,matching,35,NS,3,53,EEE,1.0,100.0,100,0,2023-08-05 23:51:33,2023-09-19 15:19:29,45.0,E,64,11,MAS
103,80693,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.4 - Exercises,matching,47,NS,3,119,AEE,1.0,100.0,100,0,2023-08-05 23:48:49,2023-09-19 15:19:48,45.0,E,91,20,MAS
104,79079,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.2 - Cross-pollination,question_answer,21,L3,8,303,EEPHEEAE,17.0,100.0,95,79,2023-08-27 13:44:37,2023-09-19 15:20:22,23.0,E,6,18,MAS
105,79078,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.2 - Cross-pollination,question_answer,35,L3,5,167,EEEAE,21.0,100.0,95,96,2023-08-27 13:49:09,2023-09-19 15:20:43,23.0,E,8,21,MAS
106,79056,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.1 - Self-pollination,question_answer,53,L1,6,144,EAEEEE,44.0,100.0,100,97,2023-09-07 19:09:16,2023-09-19 15:21:09,12.0,E,27,27,L2
107,79057,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.1 - Self-pollination,question_answer,50,L1,5,198,EEEEE,66.0,100.0,100,100,2023-09-07 19:09:50,2023-09-19 15:21:41,12.0,E,26,33,L2
108,79058,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.1 - Self-pollination,question_answer,73,L1,7,323,EEPEEEE,44.0,100.0,100,93,2023-09-07 19:10:16,2023-09-19 15:22:12,12.0,E,43,31,L2
109,79059,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.1 - Self-pollination,question_answer,66,L1,7,430,PHEEEEE,44.0,100.0,100,79,2023-09-07 19:10:53,2023-09-19 15:22:35,12.0,E,41,24,L2
110,79073,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.2 - Cross-pollination,question_answer,24,L1,4,81,EEEE,68.0,100.0,100,100,2023-09-07 19:11:11,2023-09-19 15:22:46,12.0,E,14,11,L2
111,79212,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.3 - Agents of cross-pollination,question_answer,46,L1,4,90,EEEE,44.0,100.0,100,100,2023-09-07 19:11:29,2023-09-19 15:23:00,12.0,E,40,15,MAS
112,79239,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.3 - Fertilization,question_answer,35,L1,6,191,EHEEEE,44.0,100.0,100,84,2023-09-07 19:11:49,2023-09-19 15:23:11,12.0,E,23,12,L2
113,79241,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.3 - Fertilization,question_answer,36,L1,4,116,EEEE,64.0,100.0,100,100,2023-09-07 19:12:09,2023-09-19 15:23:27,12.0,E,22,16,L2
114,79214,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.1.5 - Wind/Insect Pollinated Flowers,question_answer,92,L3,6,618,EPEEEE,19.0,100.0,100,92,2023-09-07 19:13:35,2023-09-19 15:24:12,12.0,E,24,46,MAS
115,79216,29194,Class-9,Biology,5,1,Pollination and Fertilization (qa),5.2 - Examples Of Pollination,question_answer,84,L3,4,166,EEEE,44.0,100.0,100,100,2023-09-07 19:14:19,2023-09-19 15:24:37,12.0,E,20,26,MAS
